age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
52;admin.;single;high.school;no;yes;no;cellular;may;tue;1258;5;47;8;failure;-1.172;93.109;-38.182;3.659;5162;no
49;blue-collar;married;professional.course;no;yes;yes;cellular;jun;wed;1700;6;68;4;nonexistent;-1.837;93.833;-40.351;2.932;5114;no
31;management;single;high.school;no;yes;no;cellular;aug;fri;1009;9;83;7;failure;-1.016;93.698;-40.982;3.338;5111;no
42;services;married;basic.6y;no;yes;no;telephone;may;thu;741;9;156;10;nonexistent;-1.646;93.585;-41.123;2.824;5091;no
39;blue-collar;single;professional.course;no;yes;no;cellular;jul;tue;281;8;87;6;failure;-0.59;93.079;-40.074;3.991;5108;no
47;blue-collar;married;basic.9y;no;yes;no;telephone;may;tue;1080;7;66;13;nonexistent;-1.461;93.412;-40.284;2.792;5126;no
60;housemaid;married;basic.6y;no;no;no;cellular;dec;tue;1492;3;11;3;failure;-0.665;93.117;-40.88;3.58;5107;no
60;blue-collar;married;high.school;no;yes;no;telephone;apr;mon;1235;10;111;14;failure;-0.696;93.45;-35.317;3.539;5166;no
57;services;divorced;basic.4y;no;yes;no;cellular;oct;mon;1240;8;94;4;nonexistent;-1.359;93.246;-43.446;2.805;5119;no
67;housemaid;married;university.degree;no;yes;no;telephone;may;mon;1990;10;86;16;nonexistent;-1.509;93.76;-39.554;1.592;5099;yes
52;retired;divorced;high.school;no;yes;no;cellular;jun;wed;1108;6;125;6;nonexistent;-1.536;92.698;-40.329;3.529;5161;no
68;retired;married;university.degree;no;yes;no;telephone;may;thu;1215;8;24;10;nonexistent;-0.435;92.686;-37.542;3.05;5051;yes
36;management;single;basic.9y;no;yes;no;telephone;jul;wed;692;9;100;10;nonexistent;-1.114;93.282;-40.995;3.702;5134;no
61;admin.;married;university.degree;no;yes;no;telephone;may;fri;1031;9;90;15;nonexistent;-2.036;93.668;-41.158;2.044;5055;no
47;services;married;basic.4y;no;yes;no;cellular;aug;mon;994;10;105;9;nonexistent;-0.92;93.657;-40.507;2.835;5055;no
50;technician;single;basic.4y;no;yes;no;telephone;jul;fri;1295;9;181;11;failure;-1.453;93.727;-39.839;2.418;5090;no
47;blue-collar;married;basic.4y;no;yes;no;telephone;jun;wed;1079;10;83;11;nonexistent;-2.117;94.095;-40.055;2.35;5037;no
57;services;married;high.school;no;yes;no;cellular;aug;tue;1620;9;83;9;nonexistent;-0.912;93.171;-37.021;3.023;5098;yes
50;blue-collar;married;basic.4y;no;yes;no;cellular;jun;fri;916;9;117;7;nonexistent;-0.808;93.549;-39.639;2.911;5053;no
37;housemaid;married;high.school;no;yes;no;cellular;may;wed;909;7;145;9;success;-1.712;93.655;-41.127;3.131;5091;no
29;unemployed;married;basic.9y;no;yes;no;cellular;jul;tue;760;9;90;8;success;-1.825;93.798;-44.884;3.022;5072;no
48;admin.;single;basic.9y;no;yes;no;cellular;nov;tue;1055;7;120;7;nonexistent;-0.597;93.268;-42.796;3.349;5081;no
55;technician;married;high.school;no;no;yes;cellular;jul;tue;1915;5;172;3;nonexistent;-1.523;93.241;-43.895;2.551;5131;no
55;admin.;married;basic.6y;no;yes;no;telephone;jul;fri;872;9;173;11;failure;-1.503;93.648;-37.132;2.668;5089;no
65;blue-collar;married;professional.course;no;yes;no;telephone;oct;tue;1496;9;8;12;nonexistent;-0.583;92.94;-39.159;3.11;5087;yes
47;blue-collar;married;high.school;no;yes;no;cellular;jun;fri;1405;6;64;6;nonexistent;-1.553;93.359;-44.255;2.625;5111;no
52;services;married;university.degree;no;yes;no;telephone;jan;tue;1231;10;140;14;nonexistent;-1.559;93.607;-38.763;2.375;5113;no
53;retired;single;basic.9y;no;yes;no;cellular;may;tue;1449;8;64;8;success;-1.508;93.501;-40.784;2.868;5130;no
37;management;single;university.degree;no;yes;no;cellular;jun;mon;1014;8;113;9;nonexistent;-1.523;93.563;-45.41;2.826;5065;no
53;retired;married;high.school;no;yes;yes;cellular;may;tue;1850;6;26;7;nonexistent;-1.785;93.695;-42.745;2.221;5111;no
57;unemployed;single;university.degree;no;yes;yes;cellular;jun;tue;2051;6;16;5;nonexistent;-1.151;93.615;-42.671;2.365;5131;no
49;blue-collar;married;basic.4y;no;yes;no;telephone;may;thu;941;9;112;11;failure;-1.624;93.768;-39.497;2.488;5069;no
55;unemployed;single;professional.course;no;yes;no;cellular;may;tue;1157;6;60;8;success;-2.485;92.977;-42.533;2.77;5163;no
39;services;married;professional.course;no;no;yes;cellular;may;fri;1803;4;42;5;nonexistent;-2.638;93.72;-40.045;2.689;5099;no
54;services;single;basic.4y;no;yes;no;cellular;may;fri;1420;8;33;8;nonexistent;-1.602;93.483;-41.008;2.699;5124;no
45;housemaid;married;high.school;no;yes;no;cellular;may;tue;1206;8;183;9;nonexistent;-1.034;93.571;-41.914;2.78;5108;no
47;admin.;married;professional.course;no;yes;no;telephone;aug;thu;840;10;145;11;nonexistent;-1.616;93.609;-40.464;3.101;5055;no
64;admin.;married;high.school;no;yes;no;telephone;may;fri;1078;10;69;10;nonexistent;-0.964;93.72;-39.561;2.901;5107;no
32;admin.;married;basic.4y;no;yes;no;cellular;jun;wed;1107;9;132;9;success;-1.734;93.844;-40.561;3.043;5107;no
48;management;married;high.school;no;yes;no;telephone;may;tue;1120;10;195;11;nonexistent;-0.714;93.49;-40.708;2.959;5132;no
46;admin.;married;basic.4y;no;yes;no;cellular;may;wed;824;10;65;10;nonexistent;-0.702;93.327;-39.52;3.348;5113;no
53;admin.;married;professional.course;no;yes;no;telephone;apr;thu;1075;9;19;11;nonexistent;-1.873;93.604;-39.213;2.845;5136;no
62;blue-collar;single;basic.4y;no;yes;no;telephone;aug;tue;1369;11;154;14;failure;-1.705;93.938;-38.49;1.685;5057;no
60;services;married;basic.4y;no;yes;no;cellular;aug;tue;1514;7;36;7;nonexistent;-1.748;93.367;-43.735;2.218;5127;no
59;management;married;basic.9y;no;yes;no;telephone;jun;mon;1425;9;52;13;nonexistent;-1.657;93.739;-39.085;2.189;5054;no
66;housemaid;married;high.school;no;yes;no;cellular;may;tue;1523;6;129;9;nonexistent;-0.91;93.419;-40.535;2.85;5130;no
61;retired;divorced;university.degree;no;yes;no;cellular;may;mon;971;8;81;9;nonexistent;-1.098;93.335;-40.787;2.987;5121;no
45;management;divorced;basic.4y;no;yes;no;telephone;jul;tue;860;11;100;10;nonexistent;-0.873;93.656;-40.575;2.863;5081;no
50;services;married;basic.4y;no;yes;no;cellular;aug;tue;601;11;38;10;nonexistent;-0.923;93.392;-39.809;2.947;5051;no
60;housemaid;married;basic.9y;no;yes;no;telephone;sep;tue;660;11;123;13;nonexistent;-1.21;93.375;-41.037;2.468;5030;no
73;management;married;professional.course;no;yes;no;telephone;may;mon;1230;10;92;14;nonexistent;-1.541;93.787;-35.074;2.83;5131;no
67;technician;divorced;high.school;no;yes;no;telephone;may;wed;1949;9;142;14;nonexistent;-1.571;93.818;-42.102;1.934;5077;yes
36;technician;married;basic.9y;no;yes;no;telephone;may;fri;1091;7;173;10;nonexistent;-1.192;93.478;-41.223;3.289;5154;no
50;management;married;high.school;no;yes;no;cellular;aug;tue;890;10;150;9;failure;-1.126;93.623;-35.807;3.017;5096;no
75;housemaid;married;basic.9y;no;yes;no;cellular;may;tue;1244;7;36;10;success;-1.104;92.986;-41.926;2.63;5152;no
60;admin.;married;high.school;no;yes;no;cellular;jun;tue;856;6;11;9;nonexistent;-1.993;92.547;-42.527;3.183;5171;no
45;services;married;basic.9y;no;yes;no;cellular;sep;fri;941;8;112;8;nonexistent;-0.592;93.145;-42.164;3.538;5107;no
53;unemployed;single;professional.course;no;yes;no;telephone;aug;wed;1423;10;132;12;nonexistent;-1.544;94.01;-36.67;2.316;5080;no
49;blue-collar;married;university.degree;no;yes;no;cellular;may;mon;1601;8;180;7;nonexistent;-2.744;93.436;-44.336;2.185;5117;yes
56;admin.;married;professional.course;no;yes;no;telephone;may;thu;1480;9;42;13;nonexistent;-0.686;94.04;-37.621;3.064;5126;no
57;housemaid;married;high.school;no;yes;no;telephone;aug;mon;1518;9;96;15;nonexistent;-2.014;93.75;-39.419;2.021;5065;no
57;admin.;married;high.school;no;yes;no;cellular;jun;mon;1595;7;79;9;nonexistent;-0.869;93.636;-37.429;3.193;5107;no
54;admin.;married;basic.4y;no;yes;no;cellular;jul;tue;1058;9;14;9;nonexistent;-1.292;93.646;-40.28;2.504;5042;no
64;technician;single;professional.course;no;no;no;cellular;may;mon;1466;4;14;6;nonexistent;-1.304;93.056;-42.26;3.035;5156;no
66;technician;married;high.school;no;yes;no;cellular;apr;wed;1300;7;47;8;nonexistent;-1.651;93.082;-43.099;2.598;5160;no
58;unemployed;married;university.degree;no;yes;no;telephone;aug;wed;1504;9;85;12;nonexistent;-0.41;94.126;-34.597;3.42;5094;no
58;blue-collar;married;basic.6y;no;yes;no;telephone;apr;thu;1536;11;81;12;nonexistent;-0.432;93.241;-36.486;3.311;5063;yes
70;services;married;professional.course;no;yes;no;cellular;may;wed;1386;7;115;9;nonexistent;-1.317;93.548;-39.28;2.953;5126;no
62;technician;married;high.school;no;yes;no;telephone;may;tue;1089;10;195;11;nonexistent;-0.694;93.364;-39.503;2.575;5062;no
40;management;married;basic.9y;no;yes;no;cellular;may;wed;779;9;20;7;nonexistent;-0.747;93.439;-41.224;3.154;5086;no
42;blue-collar;married;high.school;no;yes;no;cellular;oct;wed;1007;11;30;9;nonexistent;-0.878;93.571;-39.7;3.255;5111;no
54;management;married;university.degree;no;yes;no;telephone;may;mon;1492;10;54;11;success;0.023;93.302;-37.317;3.257;5075;yes
56;blue-collar;married;university.degree;no;yes;no;cellular;may;thu;1612;7;162;9;nonexistent;-1.291;93.717;-38.941;2.87;5108;no
50;blue-collar;married;professional.course;no;yes;no;cellular;may;fri;1017;8;134;10;nonexistent;-2.044;93.898;-35.31;2.58;5055;no
55;blue-collar;married;basic.4y;no;yes;no;cellular;aug;wed;1214;6;124;4;nonexistent;-1.639;93.397;-41.026;3.166;5111;no
47;housemaid;single;university.degree;no;yes;no;telephone;apr;wed;1300;9;96;12;nonexistent;-1.25;93.6;-38.43;2.732;5120;no
50;services;married;high.school;no;yes;no;telephone;aug;mon;1292;7;97;10;success;-1.433;93.496;-35.077;3.614;5144;no
74;housemaid;married;basic.9y;no;yes;yes;telephone;jun;fri;2232;9;195;17;nonexistent;-0.997;93.901;-44.894;1.231;5047;yes
60;technician;married;basic.6y;no;yes;no;telephone;feb;fri;1706;9;91;15;failure;-0.76;93.493;-36.588;3.07;5116;yes
61;admin.;married;basic.4y;no;yes;yes;cellular;may;thu;1778;6;119;6;nonexistent;-1.849;93.844;-42.685;2.16;5110;no
58;blue-collar;married;basic.4y;no;yes;no;telephone;apr;mon;1069;11;96;14;nonexistent;-0.935;93.398;-40.871;2.382;5064;no
61;unemployed;single;professional.course;no;yes;yes;cellular;jun;fri;1783;5;56;5;nonexistent;-0.893;93.383;-43.913;2.524;5137;no
51;admin.;single;basic.6y;no;yes;no;telephone;jun;mon;1298;8;137;11;nonexistent;-1.959;93.702;-44.524;2.231;5075;yes
37;blue-collar;married;basic.4y;no;yes;no;cellular;may;wed;859;9;88;7;nonexistent;-1.54;93.621;-44.388;2.979;5034;no
48;management;married;basic.9y;no;yes;no;cellular;may;wed;1109;8;193;9;nonexistent;-0.821;93.42;-37.774;3.214;5134;no
61;services;married;high.school;no;yes;no;cellular;may;fri;1059;8;81;6;nonexistent;-1.46;93.635;-42.447;2.867;5085;no
58;housemaid;married;basic.6y;no;yes;no;telephone;may;thu;985;10;104;13;nonexistent;-1.669;93.664;-36.778;2.591;5077;no
65;admin.;single;basic.4y;no;yes;yes;cellular;jun;thu;1710;7;110;5;nonexistent;-0.936;93.679;-39.88;2.87;5090;no
33;services;single;basic.6y;no;yes;no;cellular;may;fri;567;9;153;5;nonexistent;-1.177;93.593;-42.141;3.692;5079;no
45;unemployed;divorced;high.school;no;yes;no;telephone;may;wed;1163;9;16;12;failure;-2.229;94.015;-39.466;2.349;5059;no
38;management;married;basic.4y;no;yes;no;telephone;apr;thu;1291;9;48;13;nonexistent;-2.368;93.974;-43.675;2.155;5060;no
55;technician;married;high.school;no;yes;no;telephone;sep;mon;1384;7;144;10;success;-1.312;93.293;-37.118;3.332;5128;no
61;unemployed;single;basic.4y;no;yes;no;cellular;nov;wed;1176;8;27;10;failure;-1.094;93.343;-40.244;2.746;5113;no
46;management;single;basic.6y;no;yes;no;telephone;jul;mon;1120;8;6;12;nonexistent;-1.187;93.339;-39.783;3.179;5153;no
61;services;single;basic.9y;no;yes;no;cellular;aug;fri;1459;7;103;8;failure;-1.086;93.48;-39.857;3.187;5141;no
55;unemployed;married;basic.4y;no;yes;no;telephone;aug;fri;1999;9;133;11;nonexistent;-1.928;93.68;-40.331;2.638;5101;yes
40;blue-collar;married;basic.6y;no;yes;no;cellular;jul;mon;652;10;36;8;nonexistent;-0.101;93.148;-44.495;3.573;5105;no
44;management;married;basic.9y;no;yes;no;telephone;may;wed;816;9;174;10;nonexistent;-1.58;93.681;-40.85;2.956;5079;no
64;unemployed;married;basic.9y;no;yes;no;telephone;may;tue;929;9;107;13;nonexistent;-1.252;93.45;-37.77;2.731;5056;no
64;admin.;married;professional.course;no;yes;yes;cellular;may;tue;2146;5;39;9;nonexistent;-1.704;94.001;-38.624;2.557;5137;no
48;services;married;basic.4y;no;yes;no;cellular;aug;wed;274;10;38;8;nonexistent;-1.574;93.528;-41.504;2.955;5016;no
70;services;married;university.degree;no;yes;no;cellular;jul;mon;1572;6;42;9;nonexistent;-1.087;93.417;-39.692;2.573;5101;no
47;blue-collar;married;professional.course;no;yes;no;cellular;jun;mon;929;9;82;10;nonexistent;-1.064;93.514;-39.714;2.884;5093;no
56;management;married;professional.course;no;yes;no;cellular;may;wed;1378;7;69;8;nonexistent;-0.902;93.014;-41.475;3.097;5142;no
61;unemployed;married;basic.9y;no;yes;no;cellular;may;mon;1000;10;196;9;nonexistent;-1.071;93.557;-39.301;2.978;5116;no
58;housemaid;single;professional.course;no;yes;no;telephone;jul;wed;820;8;35;11;nonexistent;-1.007;93.378;-41.305;2.69;5086;no
45;blue-collar;married;basic.6y;no;yes;no;cellular;jun;tue;940;9;22;10;nonexistent;-1.177;93.577;-37.177;3.156;5097;no
56;blue-collar;married;basic.4y;no;yes;no;cellular;jun;fri;1202;8;197;6;nonexistent;-0.698;93.629;-40.387;3.103;5075;no
59;services;divorced;basic.4y;no;no;no;cellular;may;wed;1507;5;99;7;nonexistent;-1.758;93.13;-40.753;2.844;5137;no
57;services;divorced;university.degree;no;yes;yes;cellular;jul;thu;1881;6;110;6;nonexistent;-1.305;93.766;-42.175;2.287;5092;no
47;admin.;married;basic.9y;no;yes;no;cellular;nov;mon;635;9;45;9;nonexistent;-0.722;93.248;-42.915;3.218;5080;no
54;retired;single;university.degree;no;yes;no;cellular;sep;tue;1905;7;134;9;nonexistent;-0.451;93.108;-37.976;3.012;5062;yes
48;admin.;married;basic.9y;no;yes;no;cellular;may;fri;734;8;68;9;nonexistent;-1.721;93.756;-35.571;3.049;5091;no
52;blue-collar;married;university.degree;no;yes;no;cellular;jun;wed;1492;10;97;10;nonexistent;-0.533;93.511;-37.533;3.135;5126;yes
41;technician;married;university.degree;no;yes;no;telephone;may;tue;1016;11;101;10;nonexistent;-1.769;94.079;-37.733;2.522;5084;no
67;admin.;married;university.degree;no;yes;no;telephone;jun;fri;1043;11;173;12;nonexistent;-1.017;93.878;-38.985;2.779;5103;no
67;retired;single;high.school;no;yes;yes;telephone;jul;mon;1779;8;73;10;nonexistent;-2.057;94.187;-38.002;2.261;5111;no
66;retired;single;university.degree;no;yes;yes;telephone;may;wed;2443;12;106;14;nonexistent;-1.81;94.149;-41.325;1.563;5037;yes
62;admin.;divorced;university.degree;no;yes;no;cellular;aug;tue;1471;8;49;8;nonexistent;-0.626;93.199;-36.107;3.12;5113;yes
52;blue-collar;single;basic.9y;no;yes;no;telephone;jun;tue;1307;8;180;11;nonexistent;-1.392;93.544;-42.01;2.453;5092;no
51;admin.;married;high.school;no;yes;no;cellular;feb;mon;831;11;84;10;failure;-0.969;93.839;-38.431;2.749;5080;no
44;admin.;single;professional.course;no;yes;no;cellular;may;mon;918;9;178;10;nonexistent;-0.619;93.242;-42.038;3.307;5112;no
39;housemaid;divorced;basic.9y;no;yes;no;cellular;may;tue;996;10;186;7;failure;-0.717;93.647;-41.33;3.056;5111;no
45;blue-collar;single;professional.course;no;yes;no;cellular;jul;thu;922;11;143;9;nonexistent;-0.752;93.438;-39.307;3.42;5069;no
55;blue-collar;single;basic.4y;no;yes;no;cellular;jul;fri;1199;6;1;7;success;-1.436;93.434;-39.864;3.12;5114;no
40;housemaid;divorced;high.school;no;yes;no;cellular;jun;thu;1117;7;69;10;nonexistent;-1.127;93.294;-43.14;3.341;5124;no
28;admin.;married;basic.4y;no;yes;no;cellular;dec;tue;426;8;59;5;nonexistent;-1.644;93.62;-43.646;3.508;5062;no
57;unemployed;single;basic.9y;no;yes;no;telephone;jun;thu;1429;9;170;15;nonexistent;-1.707;93.764;-36.183;2.181;5116;no
72;admin.;single;basic.9y;no;yes;no;telephone;jun;wed;1171;9;141;16;nonexistent;-1.767;93.605;-40.428;1.681;5025;no
66;services;divorced;professional.course;no;yes;no;telephone;sep;tue;1238;7;110;14;nonexistent;-1.092;93.466;-34.678;3.535;5139;no
57;blue-collar;married;basic.6y;no;yes;no;telephone;jun;mon;1532;10;68;10;nonexistent;-1.75;94.333;-38.629;2.431;5086;no
51;retired;married;professional.course;no;yes;no;telephone;jun;thu;1002;10;116;12;nonexistent;-1.414;93.63;-37.66;2.826;5101;no
45;admin.;single;professional.course;no;yes;no;telephone;jul;wed;839;9;20;11;nonexistent;-1.722;93.753;-40.659;2.719;5064;no
50;technician;married;high.school;no;yes;no;telephone;jul;fri;826;8;37;13;nonexistent;-1.982;93.546;-34.67;3.227;5103;no
52;management;married;basic.6y;no;yes;no;telephone;may;thu;1419;9;79;10;nonexistent;-0.989;93.648;-39.025;2.64;5082;no
72;admin.;married;basic.6y;no;yes;no;telephone;may;wed;1110;11;50;13;nonexistent;-0.161;92.703;-38.154;3.4;5138;yes
48;technician;married;high.school;no;yes;no;cellular;jun;thu;1604;7;163;7;success;-1.187;93.639;-39.73;2.786;5092;no
61;admin.;married;basic.4y;no;yes;no;cellular;may;wed;1537;5;23;7;nonexistent;-1.428;93.492;-40.115;2.883;5152;no
51;technician;married;high.school;no;yes;no;cellular;oct;mon;1342;9;95;9;nonexistent;-0.82;93.032;-34.897;3.304;5043;yes
54;technician;married;university.degree;no;no;no;cellular;may;wed;1605;4;79;7;nonexistent;-1.066;93.353;-41.138;3.096;5120;no
54;blue-collar;married;basic.6y;no;yes;no;cellular;may;fri;1289;7;143;6;nonexistent;-1.208;93.457;-40.583;3.107;5144;no
54;services;married;high.school;no;yes;no;cellular;jul;fri;1543;5;28;8;nonexistent;-1.124;93.806;-37.986;3.413;5123;no
74;management;married;university.degree;no;yes;yes;telephone;jul;wed;1702;7;106;11;nonexistent;-0.909;93.855;-38.117;2.546;5111;no
43;admin.;married;university.degree;no;yes;no;cellular;jul;tue;950;8;12;8;nonexistent;-1.168;93.57;-40.049;3.188;5066;no
62;services;married;university.degree;no;yes;no;telephone;jun;mon;1567;7;108;11;nonexistent;-1.533;93.345;-40.916;2.591;5171;no
56;housemaid;married;professional.course;no;yes;no;cellular;apr;tue;1575;5;126;6;nonexistent;-2.114;93.203;-44.242;2.447;5150;no
63;blue-collar;single;basic.9y;no;yes;no;telephone;jun;fri;1380;10;32;14;nonexistent;-0.877;93.686;-36.44;2.27;5087;no
64;technician;married;university.degree;no;yes;no;telephone;jun;thu;1844;7;101;16;nonexistent;-1.101;93.539;-39.534;2.255;5088;yes
56;housemaid;married;university.degree;no;yes;no;telephone;aug;thu;1201;9;5;11;nonexistent;-0.476;93.376;-37.845;3.048;5124;no
61;blue-collar;single;high.school;no;yes;no;cellular;may;thu;1790;7;57;9;nonexistent;-0.788;93.087;-39.324;2.717;5084;yes
46;services;married;basic.9y;no;yes;no;cellular;apr;thu;1250;8;31;9;nonexistent;-1.304;93.54;-40.707;2.839;5109;no
37;technician;divorced;high.school;no;yes;no;cellular;jun;wed;512;10;159;6;nonexistent;0.082;93.187;-40.828;4.047;5126;no
57;services;single;basic.9y;no;yes;no;telephone;sep;wed;838;10;28;10;success;-1.306;93.637;-36.781;3.029;5067;no
50;technician;married;basic.6y;no;yes;no;telephone;may;wed;797;8;77;13;nonexistent;-1.097;92.622;-36.773;4.09;5194;no
64;admin.;married;high.school;no;yes;no;cellular;oct;fri;1324;7;40;10;nonexistent;-1.041;93.496;-38.093;3.087;5124;no
60;retired;married;high.school;no;yes;no;cellular;jul;tue;1025;7;53;10;nonexistent;-1.335;93.052;-40.134;3.009;5113;no
69;services;married;high.school;no;yes;no;telephone;jul;fri;1516;10;28;12;nonexistent;-0.071;92.745;-39.334;3.343;5162;yes
58;admin.;married;basic.4y;no;yes;no;cellular;jun;fri;1576;6;36;4;nonexistent;-1.432;93.426;-44.177;2.33;5089;no
35;services;married;professional.course;no;yes;no;cellular;nov;thu;660;8;77;6;nonexistent;-0.949;93.34;-41.168;3.714;5099;no
69;unemployed;single;basic.6y;no;yes;no;telephone;jun;mon;1617;8;115;12;nonexistent;-0.941;93.503;-40.662;2.416;5071;yes
36;unemployed;married;basic.4y;no;yes;no;cellular;jun;mon;380;10;122;4;nonexistent;-0.371;93.055;-45.861;3.941;5042;no
50;admin.;married;high.school;no;yes;yes;cellular;aug;tue;1603;6;106;8;nonexistent;-1.187;93.459;-41.098;2.894;5106;no
58;technician;single;basic.9y;no;yes;yes;telephone;may;fri;1572;8;164;11;nonexistent;-1.423;93.791;-40.397;2.36;5134;no
48;management;married;basic.4y;no;yes;no;telephone;may;fri;1457;14;115;13;nonexistent;-0.462;93.98;-37.92;3.329;5058;no
70;blue-collar;married;basic.9y;no;yes;no;telephone;aug;mon;1073;9;118;13;nonexistent;-1.121;93.18;-39.695;2.822;5174;no
63;blue-collar;married;professional.course;no;yes;no;cellular;may;tue;1383;8;51;10;nonexistent;-1.359;93.466;-40.037;2.255;5068;no
54;admin.;married;high.school;no;yes;no;telephone;aug;fri;1157;10;41;10;nonexistent;-0.448;93.212;-37.459;3.323;5051;yes
68;services;divorced;basic.9y;no;yes;no;telephone;jul;tue;1222;8;53;13;nonexistent;-1.19;93.229;-37.573;3.3;5168;no
60;unemployed;married;basic.6y;no;yes;no;cellular;jun;fri;1307;11;59;9;failure;-0.954;93.889;-35.939;3.234;5110;no
62;unemployed;married;high.school;no;yes;no;cellular;may;wed;1229;7;106;7;failure;-1.085;93.151;-39.301;3.224;5120;no
71;technician;married;university.degree;no;yes;yes;telephone;aug;fri;1731;9;191;13;nonexistent;-0.966;93.982;-35.994;2.756;5119;no
39;admin.;married;high.school;no;yes;no;telephone;aug;wed;1638;9;78;10;nonexistent;-1.447;93.975;-41.021;2.44;5107;no
49;admin.;married;professional.course;no;yes;no;cellular;jun;tue;1369;8;79;7;failure;-0.743;93.58;-40.07;3.319;5102;no
79;technician;single;high.school;no;yes;no;telephone;jun;tue;1774;10;177;16;nonexistent;-0.617;93.315;-37.116;2.904;5181;yes
40;unemployed;divorced;professional.course;no;yes;no;cellular;may;fri;708;9;188;9;nonexistent;-0.622;93.316;-39.651;3.524;5141;no
46;unemployed;married;university.degree;no;yes;no;cellular;aug;tue;1359;6;159;5;nonexistent;-0.757;93.531;-38.417;3.583;5084;no
49;management;married;professional.course;no;yes;no;cellular;jul;thu;1221;6;3;8;nonexistent;-2.166;93.211;-41.097;2.962;5156;no
47;technician;married;university.degree;no;yes;no;telephone;may;wed;873;9;39;10;failure;-0.952;93.373;-38.823;3.257;5112;no
36;services;married;high.school;no;yes;no;cellular;aug;fri;897;7;166;6;nonexistent;-0.364;93.039;-44.007;3.742;5117;no
62;services;married;university.degree;no;yes;yes;telephone;apr;mon;2500;10;168;13;nonexistent;-1.984;93.9;-39.704;1.792;5066;yes
65;unemployed;married;high.school;no;yes;no;cellular;may;wed;1657;6;158;8;nonexistent;-0.914;93.491;-39.541;3.191;5133;no
55;blue-collar;married;university.degree;no;yes;no;cellular;aug;mon;1713;12;24;7;nonexistent;-1.581;93.534;-32.795;3.149;5086;yes
